VCHTYPE,DATE,PARTYLEDGERNAME,LEDGERNAME/STOCKITEM,AMOUNT,DEPARTMENT
Sales,Sept-2023,Sun City Resort - STAAH,Rb/ST/23-24/1195,Monthly Fees  B E,1500,STAAH
Sales,Sept-2023,Sunset Beach Resort - STAAH,Rb/ST/23-24/1196,Monthly Fees C M,3500,STAAH
Sales,Sept-2023,Sunset Beach Resort - STAAH,Rb/ST/23-24/1196,Monthly Fees  B E,1500,STAAH
Sales,Sept-2023,Tangerine Boutique Resort - STAAH,Rb/ST/23-24/1197,Monthly Fees C M,4250,STAAH
Sales,Sept-2023,The Acacia Hotel & Spa Goa - STAAH,Rb/ST/23-24/1198,Monthly Fees C M,5250,STAAH
Sales,Sept-2023,The Acacia Hotel & Spa Goa - STAAH,Rb/ST/23-24/1198,Monthly Fees  B E,2750,STAAH
Sales,Sept-2023,The Acacia Hotel & Spa Goa - STAAH,Rb/ST/23-24/1198,Monthly Fees RM,2000,STAAH
Sales,Sept-2023,The Acacia Morjim Oceanfront - STAAH,Rb/ST/23-24/1199,Monthly Fees C M,5000,STAAH
Sales,Sept-2023,The Acacia Morjim Oceanfront - STAAH,Rb/ST/23-24/1199,Monthly Fees  B E,2500,STAAH
Sales,Sept-2023,The Acacia Morjim Oceanfront - STAAH,Rb/ST/23-24/1199,Monthly Fees RM,2000,STAAH
Sales,Sept-2023,The Baga Beach Resort - STAAH,Rb/ST/23-24/1200,Booking Engine & C.M.S. (STAAH),7000,STAAH
Sales,Sept-2023,The Crown - STAAH,Rb/ST/23-24/1201,Monthly Fees C M,5000,STAAH
Sales,Sept-2023,The Crown - STAAH,Rb/ST/23-24/1201,Monthly Fees  B E,2000,STAAH
Sales,Sept-2023,The Crown - STAAH,Rb/ST/23-24/1201,Monthly Google Listing,2500,STAAH
Sales,Sept-2023,The Flora Grand - STAAH New,Rb/ST/23-24/1202,Monthly Fees C M,4500,STAAH
Sales,Sept-2023,The Flora Residency - STAAH New,Rb/ST/23-24/1203,Monthly Fees C M,4500,STAAH
Sales,Sept-2023,The HQ - STAAH,Rb/ST/23-24/1204,Monthly Fees C M,4000,STAAH
Sales,Sept-2023,The HQ - STAAH,Rb/ST/23-24/1204,Monthly Fees  B E,2000,STAAH
Sales,Sept-2023,The HQ - STAAH,Rb/ST/23-24/1204,Monthly Fees RM,2000,STAAH
Sales,Sept-2023,The Ocean Park (New) - STAAH,Rb/ST/23-24/1205,Monthly Fees C M,4500,STAAH
Sales,Sept-2023,The White Balcao - STAAH,Rb/ST/23-24/1206,Monthly Fees C M,2500,STAAH
Sales,Sept-2023,Ultimate Stay - STAAH,Rb/ST/23-24/1207,Monthly Fees C M,3500,STAAH
Sales,Sept-2023,Vacayom Homestay Hospitality - STAAH,Rb/ST/23-24/1208,Monthly Fees C M,3500,STAAH
Sales,Sept-2023,Varanda Do Mar - STAAH,Rb/ST/23-24/1209,Monthly Fees C M,5500,STAAH
Sales,Sept-2023,Varanda Do Mar - STAAH,Rb/ST/23-24/1209,Monthly Fees  B E,1500,STAAH
Sales,Sept-2023,Vedic Resorts & Hotels Pvt. Ltd - STAAH,Rb/ST/23-24/1210,Monthly CM (1),4500,STAAH
Sales,Sept-2023,Vedic Resorts & Hotels Pvt. Ltd - STAAH,Rb/ST/23-24/1210,Monthly BE (1),2500,STAAH
Sales,Sept-2023,Vedic Resorts & Hotels Pvt. Ltd - STAAH,Rb/ST/23-24/1210,Monthly Fees RM (1),2500,STAAH
Sales,Sept-2023,Vedic Resorts & Hotels Pvt. Ltd - STAAH,Rb/ST/23-24/1210,Monthly Google Listing  (1),2500,STAAH
Sales,Sept-2023,Veera Strand Park Serviced Apartments - STAAH,Rb/ST/23-24/1211,Monthly Fees C M,4500,STAAH
Sales,Sept-2023,Villa De Orange - STAAH,Rb/ST/23-24/1212,Monthly Fees C M,4000,STAAH
Sales,Sept-2023,Viva Hotel -  STAAH,Rb/ST/23-24/1213,Monthly Fees C M,3500,STAAH
Sales,Sept-2023,Viva Hotel -  STAAH,Rb/ST/23-24/1213,Monthly Fees  B E,1500,STAAH
Sales,Sept-2023,Vivenda Rebelo - STAAH New,Rb/ST/23-24/1214,Monthly Fees C M,3000,STAAH
Sales,Sept-2023,Whispering Palms - STAAH,Rb/ST/23-24/1215,Booking Engine & C.M.S. (STAAH),8000,STAAH
Sales,Sept-2023,Whispering Palms - STAAH,Rb/ST/23-24/1215,Monthly Google Listing,2500,STAAH
Sales,Sept-2023,White Square Nirvana - STAAH,Rb/ST/23-24/1216,Booking Engine & C.M.S. (STAAH),4000,STAAH
Sales,Sept-2023,White Woods Resort & Spa - STAAH,Rb/ST/23-24/1217,Monthly Fees C M,4000,STAAH
Sales,Sept-2023,Wood House Beach Resort - STAAH,Rb/ST/23-24/1218,Monthly Fees C M,4000,STAAH
Sales,Sept-2023,YU Hotel - STAAH,Rb/ST/23-24/1219,Monthly Fees C M,4500,STAAH
Sales,Sept-2023,YU Hotel - STAAH,Rb/ST/23-24/1219,Monthly Fees  B E,2000,STAAH
Sales,Sept-2023,YU Hotel - STAAH,Rb/ST/23-24/1219,Monthly Google Listing,2000,STAAH
Sales,Sept-2023,Coquerial Holiday Homes - STAAH,Rb/ST/23-24/1220,Booking Engine & C.M.S. (STAAH),4500,STAAH
Sales,Sept-2023,Aurum Resort - STAAH,Rb/ST/23-24/1221,Monthly Fees C M,3500,STAAH
Sales,Sept-2023,Montego Bay Beach Village - STAAH,Rb/ST/23-24/1222,Booking Engine & C.M.S. (STAAH),3000,STAAH
Sales,Sept-2023,Tanzanite Cottages - STAAH,Rb/ST/23-24/1223,Monthly Fees C M,3500,STAAH
Sales,Sept-2023,Vaayu Kula - STAAH,Rb/ST/23-24/1224,Monthly Fees C M,4500,STAAH
Sales,Sept-2023,Vaayu Kula - STAAH,Rb/ST/23-24/1224,Monthly Fees  B E,2250,STAAH
Sales,Sept-2023,Henry's Place - STAAH,Rb/ST/23-24/1225,Monthly Fees C M,3500,STAAH
Sales,Sept-2023,Revathi Resorts -  STAAH,Rb/ST/23-24/1226,Monthly CM (1),4000,STAAH
Sales,Sept-2023,Hotel Bom Sucesso - STAAH,Rb/ST/23-24/1227,Monthly Fees C M,4000,STAAH
Sales,Sept-2023,Twin Fountain by Baywatch Express -STAAH,Rb/ST/23-24/1228,Monthly Fees C M,4000,STAAH
Sales,Sept-2023,Twin Fountain by Baywatch Express -STAAH,Rb/ST/23-24/1228,Monthly Fees  B E,1500,STAAH
Sales,Sept-2023,Alaya Villas - STAAH,Rb/ST/23-24/1229,Monthly Fees C M,4500,STAAH
Sales,Sept-2023,Palmarinha De Goa - STAAH,Rb/ST/23-24/1230,Monthly Fees C M,3500,STAAH
Sales,Sept-2023,Palmarinha De Goa - STAAH,Rb/ST/23-24/1230,Monthly Fees  B E,1500,STAAH
Sales,Sept-2023,Coconut Grove - STAAH (New),Rb/ST/23-24/1231,Monthly Fees C M,4500,STAAH
Sales,Sept-2023,Coastal Pearl - STAAH,Rb/ST/23-24/1232,Monthly Fees C M,3500,STAAH
Sales,Sept-2023,Skylight Royal Stay - STAAH,Rb/ST/23-24/1233,Monthly Fees C M,3500,STAAH
Sales,Sept-2023,Nova Express De Mandarin - STAAH,Rb/ST/23-24/1234,Monthly CM (1),6500,STAAH
Sales,Sept-2023,Nova Express De Mandarin - STAAH,Rb/ST/23-24/1234,Monthly BE (1),2500,STAAH
Sales,Sept-2023,Nova Express De Mandarin - STAAH,Rb/ST/23-24/1234,Monthly Google Listing  (1),1500,STAAH
Sales,Sept-2023,Bis-Lin Homestay - STAAH,Rb/ST/23-24/1235,Monthly Fees C M,1500,STAAH
Sales,Sept-2023,Bis-Lin Homestay - STAAH,Rb/ST/23-24/1235,Monthly Fees C M,1500,STAAH
Sales,Sept-2023,Bis-Lin Homestay - STAAH,Rb/ST/23-24/1235,Monthly Fees C M,750,STAAH
Sales,Sept-2023,De Amour Holiday - STAAH,Rb/ST/23-24/1236,Monthly Fees C M,6000,STAAH
Sales,Sept-2023,Bella Villa - STAAH,Rb/ST/23-24/1237,Monthly Fees C M,3500,STAAH
Sales,Sept-2023,The Cresent - STAAH,Rb/ST/23-24/1238,Monthly Fees C M,5500,STAAH
Sales,Sept-2023,Vedana Retreat - STAAH,Rb/ST/23-24/1239,Monthly Fees C M,3500,STAAH
Sales,Sept-2023,Casa Amarela (New) - STAAH,Rb/ST/23-24/1240,Monthly Fees C M,3250,STAAH
Sales,Sept-2023,Sea View Holidays - STAAH,Rb/ST/23-24/1241,Monthly Fees C M,3500,STAAH
Sales,Sept-2023,Mademoiselle - STAAH New (Thunder LLP),Rb/ST/23-24/1242,Monthly Fees C M,3500,STAAH
Sales,Sept-2023,Artistry Suites - STAAH (New),Rb/ST/23-24/1243,Monthly Fees C M,5000,STAAH
Sales,Sept-2023,Crystal Village - STAAH,Rb/ST/23-24/1244,Monthly Fees C M,4000,STAAH
Sales,Sept-2023,Turtle Beach Resort - STAAH,Rb/ST/23-24/1245,Monthly Fees C M,4000,STAAH
Sales,Sept-2023,Turtle Beach Resort - STAAH,Rb/ST/23-24/1245,Monthly Fees  B E,2500,STAAH
Sales,Sept-2023,Turtle Beach Resort - STAAH,Rb/ST/23-24/1245,Monthly Google Listing,750,STAAH
Sales,Sept-2023,The Sylvan Retreat - STAAH,Rb/ST/23-24/1246,Monthly CM (1),3500,STAAH
Sales,Sept-2023,The Sylvan Retreat - STAAH,Rb/ST/23-24/1246,Monthly BE (1),2000,STAAH
Sales,Sept-2023,Casa De Paz - STAAH,Rb/ST/23-24/1247,Monthly Fees C M,3250,STAAH
Sales,Sept-2023,Tranquill Riverside Luxury Cottages - STAAH,Rb/ST/23-24/1248,Monthly Fees C M,4000,STAAH
Sales,Sept-2023,Sukcheewa Residence Phuket - STAAH,Rb/ST/23-24/1249,Monthly Fees C M,4500,STAAH
Sales,Sept-2023,Maan Vilas by Stonewoods - STAAH,Rb/ST/23-24/1250,Monthly CM (1),4000,STAAH
Sales,Sept-2023,Jeromes Holiday Inn - STAAH,Rb/ST/23-24/1251,Monthly Fees C M,3500,STAAH
Sales,Sept-2023,Jeromes Holiday Inn - STAAH,Rb/ST/23-24/1251,Monthly Fees  B E,2000,STAAH
Sales,Sept-2023,Mangal Farmstay - STAAH,Rb/ST/23-24/1252,Booking Engine & C.M.S. (STAAH),5000,STAAH
Sales,Sept-2023,Green Valley Beach Resort - STAAH,Rb/ST/23-24/1253,Monthly Fees C M,4500,STAAH
Sales,Sept-2023,Green Valley Beach Resort - STAAH,Rb/ST/23-24/1253,Monthly Fees  B E,2250,STAAH
Sales,Sept-2023,Ruhe Stay Villas - STAAH,Rb/ST/23-24/1254,Monthly Fees C M,6000,STAAH
Sales,Sept-2023,Mandrem Beach Resort - STAAH,Rb/ST/23-24/1255,Monthly Fees C M,4500,STAAH
Sales,Sept-2023,Bellagio Rezidencia - STAAH,Rb/ST/23-24/1256,Monthly Fees C M,4000,STAAH
Sales,Sept-2023,Jambul Cafe & Stay - STAAH,Rb/ST/23-24/1257,Monthly Fees C M,3250,STAAH
Sales,Sept-2023,JBL Guest House - STAAH,Rb/ST/23-24/1258,Monthly Fees C M,3500,STAAH
Sales,Sept-2023,Tan N Sands - STAAH,Rb/ST/23-24/1259,Monthly Fees  B E,1500,STAAH
Sales,Sept-2023,Mountain Retreat Kodai - STAAH,Rb/ST/23-24/1260,Monthly CM (1),4000,STAAH
Sales,Sept-2023,Mountain Retreat Kodai - STAAH,Rb/ST/23-24/1260,Monthly BE (1),1500,STAAH
Sales,Sept-2023,Whispering Palms Hotel Jaipur - STAAH,Rb/ST/23-24/1261,Monthly CM (1),4500,STAAH
Sales,Sept-2023,Whispering Palms Hotel Jaipur - STAAH,Rb/ST/23-24/1261,Monthly BE (1),2500,STAAH
Sales,Sept-2023,Peninsula Beach Resort - STAAH,Rb/ST/23-24/1262,Monthly Fees C M,3500,STAAH
Sales,Sept-2023,Nova Candolim by Sudhanand - STAAH,Rb/ST/23-24/1263,Monthly Fees C M,2333,STAAH
Sales,Sept-2023,Priti Guest House - STAAH,Rb/ST/23-24/1264,Monthly Fees C M,1983,STAAH
Sales,Sept-2023,Riva Boutique Apartements - STAAH,Rb/ST/23-24/1265,Monthly Fees C M,3500,STAAH
Sales,Sept-2023,The Baga Beach Resort - STAAH,Rb/ST/23-24/1266,Setup Google Listing,2000,STAAH
Sales,Sept-2023,Chowgule and Company Pvt Ltd I,Rub/23-24/DH/352,Renewal of Hostings,7000,Domain And Hosting
Sales,Sept-2023,Goa Electronics  Ltd.,Rub/23-24/DH/353,Renewal of,17500,Domain And Hosting
Sales,Sept-2023,Dsouza Biotech III,Rub/23-24/DH/354,Renewal of Domain Name,1350,Domain And Hosting
Sales,Sept-2023,Dsouza Biotech III,Rub/23-24/DH/354,Renewal of Hosting,3000,Domain And Hosting
Sales,Sept-2023,Dsouza Biotech III,Rub/23-24/DH/354,Renewal of Cpanel License,500,Domain And Hosting
Sales,Sept-2023,Coastal Pearl Margao - STAAH,Rb/ST/23-24/1267,Set Up C M,6000,STAAH
Sales,Sept-2023,Coastal Pearl Margao - STAAH,Rb/ST/23-24/1267,Monthly Fees C M,3500,STAAH
Sales,Sept-2023,EDC LTD 1,Rub/23-24/DH/356,Renewal of,7890,Domain And Hosting
Sales,Sept-2023,Jet International Travels and Tours,Rub/23-24/Dh/355,Renewal of Domain Name,1350,Domain And Hosting
Sales,Sept-2023,Jet International Travels and Tours,Rub/23-24/Dh/355,Renewal of Hosting,4000,Domain And Hosting
Sales,Sept-2023,Jet International Travels and Tours,Rub/23-24/Dh/355,Renewal of Cpanel License,500,Domain And Hosting
Sales,Sept-2023,Chowgule and Company (Salt) Pvt Ltd,Rub/23-24/DH/357,Renewal of Domain Name,1350,Domain And Hosting
Sales,Sept-2023,Chowgule and Company (Salt) Pvt Ltd,Rub/23-24/DH/357,Renewal of Hosting,6000,Domain And Hosting
Sales,Sept-2023,Chowgule and Company (Salt) Pvt Ltd,Rub/23-24/DH/357,Renewal of Cpanel License,500,Domain And Hosting
Sales,Sept-2023,Chowgule and Company (Salt) Pvt Ltd,Rub/23-24/DH/357,Renewal of Domain Name,1350,Domain And Hosting
Sales,Sept-2023,Chowgule and Company Private Limited (Shipbuilding),Rub/23-24/DH/358,Renewal of Domain Names,10800,Domain And Hosting
Sales,Sept-2023,Chowgule and Company Private Limited (Shipbuilding),Rub/23-24/DH/359,Renewal of Domain Name,1700,Domain And Hosting
Sales,Sept-2023,Chowgule and Company Private Limited (Shipbuilding),Rub/23-24/DH/359,Renewal of Domain Names,5850,Domain And Hosting
Sales,Sept-2023,Chowgule and Company Pvt Ltd I,Rub/23-24/DH/360,Renewal of Domain Name,1700,Domain And Hosting
Sales,Sept-2023,Chowgule and Company Pvt Ltd I,Rub/23-24/DH/360,Renewal of Domain Name,1950,Domain And Hosting
Sales,Sept-2023,Chowgule and Company Pvt Ltd I,Rub/23-24/DH/360,Renewal of Domain Names,5400,Domain And Hosting
Sales,Sept-2023,Rustic India I,Rub/23-24/DH/361,Renewal of Domain Name,1350,Domain And Hosting
Sales,Sept-2023,Rustic India I,Rub/23-24/DH/361,Renewal of Hosting,1750,Domain And Hosting
Sales,Sept-2023,Rustic India I,Rub/23-24/DH/361,Renewal of Cpanel License,500,Domain And Hosting
Sales,Sept-2023,Portuguese Consulate,Rub/23-2/DH/362,Renewal of,13500,Domain And Hosting
Sales,Sept-2023,Aulakh The Great Ocean View - STAAH,Rb/ST/23-24/1268,Monthly CM (1),3500,STAAH
Sales,Sept-2023,Holiday Inn Resort - STAAH,Rub/23-24/DH/363,Renewal of Domain Name,1350,Domain And Hosting
Sales,Sept-2023,Holiday Inn Resort - STAAH,Rub/23-24/DH/364,Renewal of Domain Name,1350,Domain And Hosting
Sales,Sept-2023,Holiday Inn Resort - STAAH,Rub/23-24/DH/364,Renewal of Hosting,1750,Domain And Hosting
Sales,Sept-2023,Holiday Inn Resort - STAAH,Rub/23-24/DH/364,Renewal of Cpanel License,500,Domain And Hosting
Sales,Sept-2023,Jiten Majithin 1,Rub/23-24/DH/365,Renewal of Domain Name,1350,Domain And Hosting
Sales,Sept-2023,Jiten Majithin 1,Rub/23-24/DH/365,Renewal of Hosting,4000,Domain And Hosting
Sales,Sept-2023,Jiten Majithin 1,Rub/23-24/DH/365,Renewal of Cpanel License,500,Domain And Hosting
Sales,Sept-2023,Ecoclean Systems & Solutions,Rub/23-24/DH/366,Renewal of Domain Name,1350,Domain And Hosting
Sales,Sept-2023,Ecoclean Systems & Solutions,Rub/23-24/DH/366,Renewal of Hosting,8000,Domain And Hosting
Sales,Sept-2023,Ecoclean Systems & Solutions,Rub/23-24/DH/366,Renewal of Cpanel License,500,Domain And Hosting
Sales,Sept-2023,Jai Ganesh Ispat and Ferro Alloys Pvt. Ltd.,Rub/23-24/DH/367,Renewal of,7890,Domain And Hosting
Sales,Sept-2023,Joecons Marine Exports Private Limited,Rub/23-24/DH/368,Renewal of Domain Names,13500,Domain And Hosting
Sales,Sept-2023,Joecons Marine Exports Private Limited,Rub/23-24/DH/368,Transfer and Renewal of Domain,1350,Domain And Hosting
Sales,Sept-2023,Fahrenheit Hotels and Resorts - DG,Rub/23-24/DG/369,Google Adwords  Management,18000,Digital Media
Sales,Sept-2023,Hotel Mayura - STAAH,Rub/23-24/DH/370,Renewal of Domain Name,1350,Domain And Hosting
Sales,Sept-2023,Hotel Mayura - STAAH,Rub/23-24/DH/370,Renewal of Hosting,1750,Domain And Hosting
Sales,Sept-2023,Hotel Mayura - STAAH,Rub/23-24/DH/370,Renewal of Cpanel License,500,Domain And Hosting
Sales,Sept-2023,Nanu Industries,Rub/23-24/DH/371,Registration of Domain Name,1350,Domain And Hosting
Sales,Sept-2023,Nanu Industries,Rub/23-24/DH/371,Hosting Charges,1750,Domain And Hosting
Sales,Sept-2023,Nanu Industries,Rub/23-24/DH/371,Registration of,500,Domain And Hosting
Sales,Sept-2023,Sonesta Inn Pvt. Ltd./Hotel,Rb/ST/23-24/1269,Setup Google Listing,2500,STAAH
Sales,Sept-2023,Andores Resort & Spa - STAAH,Rb/ST/23-24/1270,Setup Google Listing,2500,STAAH
Sales,Sept-2023,Infiniti Module Pvt .Ltd (Domain),Rub/23-24/Dh/372,Renewal of Domain Names,2700,Domain And Hosting
Sales,Sept-2023,Highland Holiday Home(Goa) Pvt.Ltd.,rub/23-24/DH/374,Renewal of Domain Name,1350,Domain And Hosting
Sales,Sept-2023,Highland Holiday Home(Goa) Pvt.Ltd.,rub/23-24/DH/374,Renewal of Hosting,4000,Domain And Hosting
Sales,Sept-2023,Highland Holiday Home(Goa) Pvt.Ltd.,rub/23-24/DH/374,Renewal of Cpanel License,500,Domain And Hosting
Sales,Sept-2023,Modest Holiday Homes,Rub/23-24/DH/373,Renewal of Domain Name,1350,Domain And Hosting
Sales,Sept-2023,Modest Holiday Homes,Rub/23-24/DH/373,Renewal of Hosting,6000,Domain And Hosting
Sales,Sept-2023,Modest Holiday Homes,Rub/23-24/DH/373,Renewal of Cpanel License,500,Domain And Hosting
Sales,Sept-2023,Exotic India Tours,Rub/23-24/DH/375,Renewal of Domain Name,1350,Domain And Hosting
Sales,Sept-2023,Exotic India Tours,Rub/23-24/DH/375,Renewal of Hosting,6000,Domain And Hosting
Sales,Sept-2023,Exotic India Tours,Rub/23-24/DH/375,Renewal of Cpanel License,500,Domain And Hosting
Sales,Sept-2023,Exotic India Tours,Rub/23-24/DH/375,Support Charges (Optional),3000,Domain And Hosting
Sales,Sept-2023,Linc Property Developers Pvt Ltd (DG),Rub/23-24/DG/376,Search Engine Optimisation,15000,Digital Media
Sales,Sept-2023,Linc Property Developers Pvt Ltd (DG),Rub/23-24/DG/376,Google Ads Commission,12000,Digital Media
Sales,Sept-2023,Rio Management Services Private Linited,Rub/22-23/DH/377,Website Secure Hosting,45000,Domain And Hosting
Sales,Sept-2023,YU HOTEL,Rub/23-24/Seo378,Search Engine Optimisation,10000,Digital Media
Sales,Sept-2023,Averina International Resorts Pvt Ltd III,Rub/23-24/DH/379,Renewal of Domain Name,2200,Domain And Hosting
Sales,Sept-2023,Averina International Resorts Pvt Ltd III,Rub/23-24/DH/379,Renewal of Domain Name,2200,Domain And Hosting
Sales,Sept-2023,Averina International Resorts Pvt Ltd III,Rub/23-24/DH/379,Renewal of Hosting,4000,Domain And Hosting
Sales,Sept-2023,Averina International Resorts Pvt Ltd III,Rub/23-24/DH/379,Renewal of Cpanel License,500,Domain And Hosting
Sales,Sept-2023,Reira Consturction Private Limited,Rub/23-24/DH/380,Hosting Charges,875,Domain And Hosting
Sales,Sept-2023,Aquatica,Rub/23-24/DH/381,Renewal of Domain Name,1350,Domain And Hosting
Sales,Sept-2023,Aquatica,Rub/23-24/DH/381,Renewal of,6000,Domain And Hosting
Sales,Sept-2023,Nanu Industries,Rub/23-24/DH/382,Registration of Domain Name,1350,Domain And Hosting
Sales,Sept-2023,Nanu Industries,Rub/23-24/DH/382,Hosting Charges,1750,Domain And Hosting
Sales,Sept-2023,Nanu Industries,Rub/23-24/DH/382,Registration of,500,Domain And Hosting
Sales,Sept-2023,Baia Do Sol - STAAH,Rb/ST/23-24/1271,Booking Engine & C.M.S. (STAAH),60000,STAAH
Sales,Sept-2023,Revathi Resorts -  STAAH,Rb/ST/23-24/1272,Setup BE(1),3000,STAAH
Sales,Sept-2023,Revathi Resorts -  STAAH,Rb/ST/23-24/1272,Monthly BE (1),1500,STAAH
Sales,Sept-2023,Quinta Da Branca - STAAH,Rb/ST/23-24/1273,Setup Payment Gateway,9000,STAAH
Sales,Sept-2023,Shetyevision Hospital Pvt Ltd,Rub/23-24/DG/383,Search Engine Optimisation,15000,Digital Media
Sales,Sept-2023,Shetyevision Hospital Pvt Ltd,Rub/23-24/DG/383,Social Media Optimisation,15000,Digital Media
Sales,Sept-2023,Casa Ibrahim,Rub/23-24/DG/384,Search Engine Optimisation,15000,Digital Media
Sales,Sept-2023,The Southern Deck,Rub/23-24/DG/385,Social Media Optimisation,45000,Digital Media
Sales,Sept-2023,Velha Goa,Rub/23-24/DG/386,Social Media Optimisation,21000,Digital Media
Sales,Sept-2023,Classic Squares Pvt. Ltd. (Hospitality Division ),Rub/23-24/DG/387,Google Ads Commission,15000,Digital Media
Sales,Sept-2023,Bogmallo Beach Resorts,Rub/23-24/Seo388,Search Engine Optimisation,18000,Digital Media
Sales,Sept-2023,Classic Squares Realty Pvt Ltd,Rub/23-24/DG/389,Search Engine Optimisation,15000,Digital Media
Sales,Sept-2023,Classic Squares Realty Pvt Ltd,Rub/23-24/DG/390,Google Ads Commission,15000,Digital Media
Sales,Sept-2023,Classic Squares Realty Pvt Ltd,Rub/23-24/DG/391,Google Ads Commission,15000,Digital Media
Sales,Nov-2023,Aastha Escape -  STAAH,Rb/ST/23-24/1274,Monthly Fees C M,5000,STAAH
Sales,Nov-2023,Acron BNB - STAAH (New),Rb/ST/23-24/1275,Monthly Fees C M,6000,STAAH
Sales,Nov-2023,Acron BNB - STAAH (New),Rb/ST/23-24/1275,Monthly Fees  B E,2200,STAAH
Sales,Nov-2023,Acron Candolim Regina - STAAH,Rb/ST/23-24/1276,Monthly Fees C M,6000,STAAH
Sales,Nov-2023,Acron Candolim Regina - STAAH,Rb/ST/23-24/1276,Monthly Fees  B E,2200,STAAH
Sales,Nov-2023,Acron Candolim Regina - STAAH,Rb/ST/23-24/1276,Monthly Google Listing,2000,STAAH
Sales,Nov-2023,Acron Seaway Resort - STAAH,Rb/ST/23-24/1277,Monthly Fees C M,5500,STAAH
Sales,Nov-2023,Acron Seaway Resort - STAAH,Rb/ST/23-24/1277,Monthly Fees  B E,2200,STAAH
Sales,Nov-2023,Acron Seaway Resort - STAAH,Rb/ST/23-24/1277,Monthly Google Listing,2000,STAAH
Sales,Nov-2023,Acron Waterfront Resort - STAAH,Rb/ST/23-24/1278,Monthly Fees C M,6000,STAAH
Sales,Nov-2023,Acron Waterfront Resort - STAAH,Rb/ST/23-24/1278,Monthly Fees  B E,2200,STAAH
Sales,Nov-2023,Acron Waterfront Resort - STAAH,Rb/ST/23-24/1278,Monthly Google Listing,2000,STAAH
Sales,Nov-2023,Aero Village - STAAH,Rb/ST/23-24/1279,Monthly CM (1),4500,STAAH
Sales,Nov-2023,Aero Village - STAAH,Rb/ST/23-24/1279,Monthly BE (1),2500,STAAH
Sales,Nov-2023,Alagoa Beach Resort - STAAH,Rb/ST/23-24/1280,Monthly Fees C M,5000,STAAH
Sales,Nov-2023,Alagoa Beach Resort - STAAH,Rb/ST/23-24/1280,Monthly Fees  B E,1000,STAAH
Sales,Nov-2023,Alagoa Beach Resort - STAAH,Rb/ST/23-24/1280,Monthly Fees C M,1500,STAAH
Sales,Nov-2023,Alagoa Beach Resort - STAAH,Rb/ST/23-24/1280,Monthly Fees  B E,500,STAAH
Sales,Nov-2023,Hotel Amani (Ajgaonkar) - STAAH,Rb/ST/23-24/1281,Monthly Fees C M,4000,STAAH
Sales,Nov-2023,Hotel Amani (Ajgaonkar) - STAAH,Rb/ST/23-24/1281,Monthly Fees  B E,1000,STAAH
Sales,Nov-2023,Amour Resort - STAAH,Rb/ST/23-24/1282,Monthly Fees C M,4000,STAAH
Sales,Nov-2023,Amour Resort - STAAH,Rb/ST/23-24/1282,Monthly Fees  B E,2000,STAAH
Sales,Nov-2023,Amour Resort - STAAH,Rb/ST/23-24/1282,Monthly Fees Instant Website,2000,STAAH
Sales,Nov-2023,Andores Resort & Spa - STAAH,Rb/ST/23-24/1283,Monthly Fees C M,6000,STAAH
Sales,Nov-2023,Andores Resort & Spa - STAAH,Rb/ST/23-24/1283,Monthly Fees  B E,1500,STAAH
Sales,Nov-2023,Andores Resort & Spa - STAAH,Rb/ST/23-24/1283,Monthly Google Listing,2500,STAAH
Sales,Nov-2023,Antares Beach Resort - STAAH,Rb/ST/23-24/1284,Monthly Fees C M,4000,STAAH
Sales,Nov-2023,Antares Beach Resort - STAAH,Rb/ST/23-24/1284,Monthly Fees  B E,1000,STAAH
Sales,Nov-2023,Arotel Rooms & Suites - STAAH,Rb/ST/23-24/1285,Monthly Fees C M,3000,STAAH
Sales,Nov-2023,Athi Resort - STAAH,Rb/ST/23-24/1286,Monthly Fees C M,3500,STAAH
Sales,Nov-2023,Athi Resort - STAAH,Rb/ST/23-24/1286,Monthly Fees  B E,1500,STAAH
Sales,Nov-2023,Baga High Q - STAAH,Rb/ST/23-24/1287,Monthly Fees C M,4500,STAAH
Sales,Nov-2023,Bambolim Beach Resort - STAAH,Rb/ST/23-24/1288,Booking Engine & C.M.S. (STAAH),7750,STAAH
Sales,Nov-2023,Bambolim Beach Resort - STAAH,Rb/ST/23-24/1288,Monthly Google Listing,2000,STAAH
Sales,Nov-2023,Bay 15 - STAAH (New),Rb/ST/23-24/1289,Monthly Fees C M,4000,STAAH
Sales,Nov-2023,Bay 15 - STAAH (New),Rb/ST/23-24/1289,Monthly Fees  B E,2000,STAAH
Sales,Nov-2023,Baywatch Resort - STAAH,Rb/ST/23-24/1290,Monthly Fees C M,4250,STAAH
Sales,Nov-2023,Baywatch Resort - STAAH,Rb/ST/23-24/1290,Monthly Fees  B E,2250,STAAH
Sales,Nov-2023,Bedrock Boutique Hostel - STAAH,Rb/ST/23-24/1291,Monthly Fees C M,2500,STAAH
Sales,Nov-2023,Beira Mar Beach Resort - STAAH,Rb/ST/23-24/1292,Monthly Fees C M,4000,STAAH
Sales,Nov-2023,Beleza...by the Beach - STAAH,Rb/ST/23-24/1293,Booking Engine & C.M.S. (STAAH),6500,STAAH
Sales,Nov-2023,Beleza...by the Beach - STAAH,Rb/ST/23-24/1293,Monthly Google Listing,2500,STAAH
